Year,District,June,July,Aug,Sep,total,Rainy_Days,Light_Rainfall,moderate,Heavy,Very_Heavy_Rain,Extremely_Heavy_Rain
2016.0,Jayashankar Bhupalpally,316.2,328.8,93.0,406.6,1144.6,,15.0,26.0,1,1,
2016.0,Jayashankar Bhupalpally,357.2,340.4,114.6,272.6,1084.8,,32.0,17.0,2,1,
2016.0,Jayashankar Bhupalpally,336.2,416.8,325.3,218.4,1296.7,,36.0,18.0,2,1,
2016.0,Jayashankar Bhupalpally,202.6,492.2,357.0,232.4,1284.2,,42.0,23.0,4,0,
2016.0,Mancherial,225.8,441.8,136.4,299.4,1103.4,,30.0,10.0,1,0,
2016.0,Mancherial,105.0,471.4,130.8,285.4,992.6,,34.0,19.0,2,0,
2016.0,Mancherial,198.0,486.8,248.4,339.8,1273.0,,22.0,24.0,0,0,
2016.0,Mancherial,181.2,436.6,221.6,264.2,1103.6,,41.0,22.0,3,0,
2016.0,Mancherial,182.0,377.8,175.6,334.4,1069.8,,31.0,26.0,1,0,
2016.0,Mancherial,262.4,343.0,209.4,239.2,1054.0,,33.0,22.0,3,0,
2016.0,Mancherial,198.0,486.8,248.4,339.8,1273.0,,49.0,22.0,0,0,
2016.0,Mancherial,173.8,540.6,150.2,253.0,1117.6,,41.0,22.0,3,0,
2016.0,Mancherial,105.0,471.4,130.8,285.4,992.6,,36.0,18.0,5,0,
2016.0,Mancherial,224.0,412.2,155.0,238.6,1029.8,,22.0,24.0,0,0,
2016.0,Mancherial,269.0,533.6,213.0,255.2,1270.8,,32.0,23.0,1,0,
2016.0,Mancherial,163.6,333.8,172.6,285.8,955.8,,22.0,25.0,3,0,
2016.0,Mancherial,262.4,343.0,209.4,239.2,1054.0,,46.0,17.0,2,0,
2016.0,Mancherial,233.2,468.4,199.0,273.6,1174.2,,49.0,22.0,0,0,
2016.0,Mancherial,262.4,343.0,209.4,239.2,1054.0,,38.0,25.0,1,0,
2016.0,Mancherial,174.0,606.4,150.6,224.6,1155.6,,49.0,22.0,0,0,
