Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days,No Rain,Light Rainfall,moderate,Heavy,Very Heavy,YEAR,August,September,Rainy Day,Very Light,Light,Moderate,Extremely Heavy,Rainy Days(out of 122)
2015.0,1314,Karimnagar,Huzurabad,265.4,78.4,104.2,193.2,641.2,38.0,74,36.0,11.0,1,0,,,,,,,,,
2015.0,1315,Karimnagar,Jammikunta,273.6,113.4,230.6,171.8,789.4,38.0,76,31.0,12.0,3,0,,,,,,,,,
2015.0,1307,Karimnagar,Karimnagar,222.2,116.8,221.0,242.4,802.4,36.0,79,25.0,16.0,2,0,,,,,,,,,
2015.0,1304,Karimnagar,Karimnagar_Rural,222.2,116.8,221.0,242.4,802.4,36.0,79,25.0,16.0,2,0,,,,,,,,,
2015.0,1305,Karimnagar,Kothapalle,222.2,116.8,221.0,242.4,802.4,36.0,79,25.0,16.0,2,0,,,,,,,,,
2015.0,1308,Karimnagar,Manakondur,293.3,75.7,134.2,118.7,621.9,32.0,88,17.0,16.0,1,0,,,,,,,,,
2015.0,1302,Karimnagar,Ramadugu,146.3,16.9,34.5,160.9,358.6,18.0,90,24.0,7.0,1,0,,,,,,,,,
2015.0,1312,Karimnagar,Shankarapatnam,256.1,52.9,100.0,235.2,644.2,40.0,77,36.0,7.0,2,0,,,,,,,,,
2015.0,1309,Karimnagar,Thimmapur,151.2,93.4,132.2,107.8,484.6,36.0,83,30.0,9.0,0,0,,,,,,,,,
2015.0,1311,Karimnagar,V_Saidapur,146.6,118.4,137.6,362.5,765.1,33.0,84,22.0,14.0,1,1,,,,,,,,,
2015.0,1313,Karimnagar,Veenavanka,353.6,106.0,178.6,210.8,849.0,32.0,86,16.0,19.0,1,0,,,,,,,,,
2015.0,3119,Khammam,Bonakal,276.2,65.6,253.4,160.6,755.8,46.0,72,32.0,17.0,1,0,,,,,,,,,
2015.0,3109,Khammam,Chinthakani,285.6,52.6,234.4,178.8,751.4,37.0,83,24.0,13.0,2,0,,,,,,,,,
2015.0,3112,Khammam,Enkuru,462.0,130.0,155.8,246.0,993.8,42.0,67,29.0,24.0,2,0,,,,,,,,,
2015.0,3113,Khammam,Kalluru,425.6,117.6,216.8,262.2,1022.2,42.0,78,17.0,25.0,2,0,,,,,,,,,
2015.0,3102,Khammam,Kamepalle,423.6,109.8,245.0,121.4,899.8,41.0,78,21.0,21.0,2,0,,,,,,,,,
2015.0,3104,Khammam,Khammam_Rural,367.6,90.4,223.8,193.4,875.2,33.0,76,27.0,19.0,0,0,,,,,,,,,
2015.0,3110,Khammam,Khammam_Urban,374.0,100.0,222.8,189.2,886.0,39.0,70,34.0,18.0,0,0,,,,,,,,,
2015.0,3111,Khammam,Konijerla,268.6,57.4,119.4,119.4,564.8,33.0,86,23.0,13.0,0,0,,,,,,,,,
2015.0,3106,Khammam,Kusumanchi,273.2,41.2,159.0,207.0,680.4,41.0,74,35.0,13.0,0,0,,,,,,,,,
2015.0,3120,Khammam,Madhira,259.6,115.2,173.2,62.2,610.2,33.0,82,25.0,14.0,1,0,,,,,,,,,
2015.0,3108,Khammam,Mudigonda,243.2,123.6,162.8,189.4,719.0,46.0,75,33.0,14.0,0,0,,,,,,,,,
2015.0,3107,Khammam,Nelakondapalle,237.4,56.8,50.8,93.0,438.0,28.0,92,20.0,9.0,1,0,,,,,,,,,
2015.0,3114,Khammam,Penuballi,365.8,83.0,163.0,309.4,921.2,40.0,75,27.0,17.0,3,0,,,,,,,,,
2015.0,3103,Khammam,Raghunadhapalem,374.0,100.0,222.8,189.2,886.0,39.0,70,34.0,18.0,0,0,,,,,,,,,
2015.0,3115,Khammam,Sathupalle,477.2,119.8,192.8,183.8,973.6,37.0,71,29.0,20.0,2,0,,,,,,,,,
