Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days,No Rain,Light Rainfall,moderate,Heavy,Very Heavy
2015,1906,Jangaon,Narmetta,224.6,5.4,80,198.2,508.2,35,80,31,11,0,0
2015,1912,Jangaon,Palakurthi,243.8,85,258.6,228.6,816,36,84,19,18,1,0
2015,1905,Jangaon,Raghunathpalle,216.8,38.8,163.6,242.6,661.8,44,77,30,15,0,0
2015,1901,Jangaon,Tharigoppula,224.6,5.4,80,198.2,508.2,35,80,31,11,0,0
2015,1903,Jangaon,Zaffergadh,248.4,47.2,149.4,115.8,560.8,29,86,22,14,0,0
2015,811,Jayashankar Bhupalpally,Bhupalpalle,564.6,107.4,256,119.6,1047.6,41,80,25,13,3,1
2015,806,Jayashankar Bhupalpally,Chityal,320.4,161.6,109,165.8,756.8,39,83,25,13,0,1
2015,816,Jayashankar Bhupalpally,Eturunagaram,611,223.8,366.4,164,1365.2,44,76,22,19,4,1
2015,810,Jayashankar Bhupalpally,Ghanapur_Mulug,574.4,176.8,185,280.6,1216.8,41,81,22,14,3,2
2015,814,Jayashankar Bhupalpally,Govindaraopet,553.2,171.8,279.2,187.2,1191.4,45,73,29,13,6,1
2015,817,Jayashankar Bhupalpally,Kannaigudem,611,223.8,366.4,164,1365.2,44,76,22,19,4,1
2015,804,Jayashankar Bhupalpally,Kataram,748.7,193,230,115,1286.7,47,72,26,19,4,1
2015,801,Jayashankar Bhupalpally,Mahadevpur,608.8,142,154,178.6,1083.4,46,71,30,17,1,3
2015,805,Jayashankar Bhupalpally,Malharrao,373.7,131,108.7,92.2,705.6,35,83,22,15,2,0
2015,820,Jayashankar Bhupalpally,Mangapet,538,208.8,294.8,186.8,1228.4,49,75,24,19,4,0
2015,808,Jayashankar Bhupalpally,Mogullapalle,327.2,125.4,147.2,166.8,766.6,44,75,36,9,1,1
2015,813,Jayashankar Bhupalpally,Mulug,485.6,168.2,325.8,214,1193.6,37,77,23,16,5,1
2015,803,Jayashankar Bhupalpally,Mutharam_Mahadevpur,424.8,94,109.2,205.6,833.6,37,79,28,12,1,2
2015,802,Jayashankar Bhupalpally,Palmela,608.8,142,154,178.6,1083.4,46,71,30,17,1,3
2015,809,Jayashankar Bhupalpally,Regonda,366.4,236,194.2,170.4,967,41,81,21,18,1,1
2015,815,Jayashankar Bhupalpally,Tadvai,463.8,146.4,256.8,229.6,1096.6,39,83,16,21,1,1
