Year,DMCODE,New_DIST,NEW_MANDAL,June,July,Aug,Sep,total,Rainy Days(out of 122),No Rain,Light Rainfall,moderate,Heavy,Very Heavy
2016,1205,Warangal_Urban,Hasanparthy,287.2,421.6,140,444.8,1293.6,58,62,31,22,6,1
2016,1211,Warangal_Urban,Inole,288.8,150,128.4,359.4,926.6,46,57,39,23,3,0
2016,1204,Warangal_Urban,Kamalapur,234.6,458.4,77.8,449.2,1220,46,64,41,15,2,0
2016,1207,Warangal_Urban,Khazipet,327,449.6,116.2,634.8,1527.6,60,69,28,21,4,0
2016,1210,Warangal_Urban,Khilla_Warangal,327,449.6,116.2,634.8,1527.6,60,62,31,22,6,1
2016,1202,Warangal_Urban,Velair,235,387.2,203.6,577.8,1403.6,49,62,31,22,6,1
2016,1209,Warangal_Urban,Warangal,288.2,343,142.4,545,1318.6,50,72,24,21,4,1
2016,2016,Yadadri Bhuvanagiri,Addagudur,316,104.2,188,481.8,1090,34,69,27,22,3,1
2016,2003,Yadadri Bhuvanagiri,Alair,130.8,112.4,64.8,291.6,599.6,36,85,18,17,0,2
2016,2014,Yadadri Bhuvanagiri,Atmakur_M,145,113,75.2,305,638.2,33,69,40,12,1,0
2016,2006,Yadadri Bhuvanagiri,Bhongiri,187,89.4,128.8,297,702.2,31,89,21,12,0,0
2016,2008,Yadadri Bhuvanagiri,Bibinagar,124.8,104.6,122.2,393,744.6,29,79,29,11,3,0
2016,2007,Yadadri Bhuvanagiri,Bommalaramaram,110.4,75,79.4,375.6,640.4,25,81,28,10,3,0
2016,2010,Yadadri Bhuvanagiri,Choutuppal,158.4,129,195,340.4,822.8,29,84,24,12,2,0
2016,2004,Yadadri Bhuvanagiri,Mootakondur,119.6,83.2,151.8,309.8,664.4,31,89,18,11,3,1
2016,2015,Yadadri Bhuvanagiri,Mothkur,316,104.2,188,481.8,1090,34,89,19,11,3,0
2016,2011,Yadadri Bhuvanagiri,Narayanapur,57.8,59.2,73.1,203.8,393.9,22,85,18,17,0,2
2016,2009,Yadadri Bhuvanagiri,Pochampalle,109.6,157.6,105.4,323.6,696.2,36,89,24,8,1,0
2016,2002,Yadadri Bhuvanagiri,Rajapet,37.2,75.4,31.2,235,378.8,27,79,30,11,2,0
2016,2012,Yadadri Bhuvanagiri,Ramannapeta,221.2,197.8,95.4,284.4,798.8,35,93,22,6,1,0
2016,2001,Yadadri Bhuvanagiri,Turkapalle_M,74,99.4,114,379.4,666.8,30,83,23,13,3,0
2016,2013,Yadadri Bhuvanagiri,Valigonda,249.4,277.4,110.8,288.6,926.2,39,91,18,11,1,1
2016,2005,Yadadri Bhuvanagiri,Yadagirigutta,119.6,83.2,151.8,309.8,664.4,31,77,26,16,2,1
